Name, BaseDamage, BaseDamageType, AreaDamageType, DetDamageType, ShieldDamageType, LargeGridModifier, SmallGridModifier, ArmorModifier, LightArmorModifier, HeavyArmorModifier, NonArmorModifier, ShieldsModifier, ShieldBypass, FragmentName, FragmentQuanty, FragmentDegrees, BBHRadius, BBHDamage, BBHDepth, BBHMaxAbsorb, BBHFalloff, EOLRadius, EOLDamage, EOLDepth, EOLMaxAbsorb, EOLFalloff, AccelPerSec, MaxSpeed, MaxTrajectory, MaxLifeTime
40mm ATLAS, 80, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.75, -1, -1, 1.35, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 1200, 0
40mm ATLAS, 80, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.75, -1, -1, 1.35, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 1200, 0
40mm ATLAS, 80, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.75, -1, -1, 1.35, -1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 1200, 0
AryxAuroraAmmo, 200, Energy, Energy, Energy, Energy, -1, -1, 1.2, -1, -1, 2, 10, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 30000, 3000, 0
400nm Pulse Laser, 90, Energy, Energy, Energy, Energy, 0.75, -1, 0.5, -1, -1, -1, 10, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 0, 3000, 0
400nm Pulse Laser, 90, Energy, Energy, Energy, Energy, 0.75, -1, 0.5, -1, -1, -1, 10, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 0, 3000, 0
AryxAutocannonAmmoWC, 200, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.25, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 5000, 0
AryxAutocannonAmmoWC, 200, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.25, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 5000, 0
AryxAutocannonAmmoWC, 200, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.25, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 5000, 0
AryxNovaAmmo, 500, Energy, Energy, Energy, Energy, 1, 1, 1, 1, 1, 5, 10, 0.75, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 950, 1500, 0
AryxEnergyNovaAmmo, 800, Energy, Energy, Energy, Energy, 1, 1, 1, 1, 1, 5, 12, 0, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 0
Punisher AP 70mm, 1200, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, 8, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1200, 3000, 0
Punisher HE 70mm, 20, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.5, -1, -1, 3, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 3.5, 2000, 1, 0, Linear, 0, 1200, 3000, 0
AryxFlakShrapWC, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 100, 25, 0
Punisher AP 70mm, 1200, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, 8, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1200, 3000, 0
Punisher HE 70mm, 20, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.5, -1, -1, 3, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 3.5, 2000, 1, 0, Linear, 0, 1200, 3000, 0
AryxFlakShrapWC, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 100, 25, 0
Punisher AP 70mm, 1200, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, 2, -1, 8, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1200, 3000, 0
Punisher HE 70mm, 20, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 1.5, -1, -1, 3, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 3.5, 2000, 1, 0, Linear, 0, 1200, 3000, 0
AryxFlakShrapWC, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, 0.5, -1, -1, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 100, 25, 0
Striker Missile, 10, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, 2, 5, -1, Striker Missile Stage 2, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 1, 0, Linear, 0, 100, 10000, 60
Striker Missile Stage 2, 10, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, -1, -1, 2, 1, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 5, 25000, 2, 0, Linear, 350, 400, 10000, 6000
