09-22-23_04-40-01-148 - Logging Started
04-44-21-453 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[6] Targ:[11] Bloc:[68] Aim:[27] CCast:[6] RndCast[12] TopCast[0]
04-44-24-722 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[22] Targ:[37] Bloc:[204] Aim:[81] CCast:[18] RndCast[36] TopCast[0]
04-44-27-890 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[204] Aim:[81] CCast:[18] RndCast[36] TopCast[0]
04-44-30-889 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[264] Aim:[279] CCast:[82] RndCast[170] TopCast[0]
04-44-34-064 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[158] Aim:[173] CCast:[32] RndCast[110] TopCast[0]
04-44-37-062 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[38] Bloc:[252] Aim:[267] CCast:[54] RndCast[186] TopCast[0]
04-44-40-234 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[38] Bloc:[11] Aim:[27] CCast:[0] RndCast[0] TopCast[0]
04-44-43-893 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[38] Bloc:[13] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
04-44-46-982 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[14] Aim:[35] CCast:[2] RndCast[6] TopCast[0]
04-44-50-153 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[3] Aim:[27] CCast:[0] RndCast[0] TopCast[0]
04-44-53-151 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[72] Aim:[92] CCast:[2] RndCast[63] TopCast[0]
04-44-56-319 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[7] Aim:[31] CCast:[0] RndCast[4] TopCast[0]
04-44-59-319 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[38] Bloc:[10] Aim:[27] CCast:[0] RndCast[0] TopCast[0]
04-45-02-490 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[72] Aim:[92] CCast:[2] RndCast[61] TopCast[0]
04-45-05-490 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[77] Aim:[96] CCast:[29] RndCast[36] TopCast[0]
04-45-08-493 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[32] Aim:[51] CCast:[5] RndCast[19] TopCast[0]
04-45-11-661 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[68] Aim:[88] CCast:[27] RndCast[34] TopCast[0]
04-45-15-326 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[38] Bloc:[36] Aim:[45] CCast:[3] RndCast[9] TopCast[0]
04-45-18-324 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[38] Bloc:[91] Aim:[95] CCast:[1] RndCast[64] TopCast[0]
04-45-21-497 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[38] Bloc:[86] Aim:[91] CCast:[27] RndCast[34] TopCast[0]
04-45-24-484 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[38] Bloc:[25] Aim:[37] CCast:[1] RndCast[3] TopCast[0]
04-45-27-658 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[8] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
04-45-30-661 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[9] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
04-45-33-661 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[39] Bloc:[66] Aim:[88] CCast:[1] RndCast[60] TopCast[0]
04-45-36-900 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-45-40-066 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[9] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
04-45-43-066 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[33] Bloc:[11] Aim:[21] CCast:[0] RndCast[0] TopCast[0]
04-45-46-697 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[35] Bloc:[10] Aim:[23] CCast:[0] RndCast[0] TopCast[0]
04-45-49-858 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[34] Bloc:[67] Aim:[79] CCast:[0] RndCast[57] TopCast[0]
04-45-52-860 - (STATS) -------- AIs:[10] - WcBlocks:[34] - AiReq:[24] Targ:[30] Bloc:[10] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
