Name, MaxDist, MinDist, DevShotAngle, AimTolerance, AimLeadingPrediction, RotateRate, ElevateRate, IdlePower, RateOfFire, ReloadTime, HeatPerShot, MaxHeat, HeatSinkRate, ShotsInBurst, DelayAfterBurst, AmmoName
ATLAS PDC, 0, 0, 0.05, 5, Accurate, 0.11, 0.11, 0, 2400, 300, 0, 70000, 9000, 10, 0,    40mm ATLAS
ATLAS PDC, 0, 0, 0.05, 5, Accurate, 0.11, 0.11, 0, 2400, 300, 0, 70000, 9000, 10, 0,    40mm ATLAS
ATLAS Gatling, 0, 0, 0.125, 5, Accurate, 0, 0, 0, 1200, 300, 0, 70000, 9000, 0, 0,    40mm ATLAS
Aurora Combat Laser, 2000, 0, 0, 5, Off, 0.1, 0.05, 0, 480, 0, 100, 8000, 800, 0, 0,    AryxAuroraAmmo
Gravastar Laser Turret, 1200, 0, 0, 1, Accurate, 0.1, 0.05, 0, 3600, 0, 0, 8000, 0, 120, 120,    400nm Pulse Laser
Gravastar Laser Turret, 1200, 0, 0, 1, Accurate, 0.1, 0.05, 0, 3600, 0, 0, 8000, 0, 120, 120,    400nm Pulse Laser
AC-54 Chord, 4000, 0, 0.01, 1, Advanced, 0.05, 0.05, 0, 180, 150, 0, 70000, 9000, 0, 0,    AryxAutocannonAmmoWC
AC-54 Chord, 4000, 0, 0.01, 1, Advanced, 0.05, 0.05, 0, 180, 150, 0, 70000, 9000, 0, 0,    AryxAutocannonAmmoWC
AC-54 Chord, 4000, 0, 0, 1, Accurate, 0.05, 0.05, 0, 180, 150, 0, 70000, 9000, 0, 0,    AryxAutocannonAmmoWC
Nova Phase Blaster, 1500, 0, 0.1, 5, Accurate, 0.05, 0.05, 0, 360, 300, 0, 70000, 9000, 1, 0,    AryxNovaAmmo   AryxEnergyNovaAmmo
Punisher Burst Cannon, 3000, 0, 0.1, 1, Advanced, 0.02, 0.02, 0, 700, 240, 0, 100, 100, 8, 0,    Punisher AP 70mm   Punisher HE 70mm   AryxFlakShrapWC
Punisher Burst Cannon, 3000, 0, 0.1, 1, Advanced, 0.02, 0.02, 0, 700, 240, 0, 100, 100, 8, 0,    Punisher AP 70mm   Punisher HE 70mm   AryxFlakShrapWC
Punisher Burst Cannon, 3000, 0, 0.1, 1, Advanced, 0.02, 0.02, 0, 700, 240, 0, 100, 100, 8, 0,    Punisher AP 70mm   Punisher HE 70mm   AryxFlakShrapWC
Poseidon Salvo Launcher, 0, 0, 0, 1, Accurate, 0, 0, 0.05, 240, 1800, 0, 1000, 0, 4, 1800,    Striker Missile   Striker Missile Stage 2   Disrupt-Striker Missile   Drain-Striker Missile   Striker Missile Drain Effect
Torpedo Launcher, 10000, 1000, 0, 1, Off, 0, 0, 0.05, 30, 600, 0, 1000, 0, 0, 0,    Devastator Fusion Torpedo   Shieldbreaker-Devastator Torpedo   Devastator Torpedo   AryxEnergyTorpEMPCharge   AryxEnergyTorp   Ion Devastator Torpedo   Concussion Devastator Launched   Concussion Devastator EMP   AryxKineticFrags
Longsword Missile Battery, 10000, 1000, 0, 60, Accurate, 0.008, 0.008, 0.5, 180, 1200, 0, 1000, 0, 0, 0,    Sabre Missile   Sabre Missile Full Speed   Disrupt-Sabre Missile   Lancer Missile Full Speed   Missile Frags   Armoured-Sabre Missile
Longbow Missile Launcher, 0, 1000, 0, 1, Accurate, 0, 0, 0.025, 30, 900, 0, 1000, 0, 0, 0,    Sabre Missile   Sabre Missile Full Speed   Disrupt-Sabre Missile   Lancer Missile Full Speed   Missile Frags   Armoured-Sabre Missile
Longbow Missile Launcher, 0, 1000, 0, 1, Accurate, 0, 0, 0.025, 30, 900, 0, 1000, 0, 0, 0,    Sabre Missile   Sabre Missile Full Speed   Disrupt-Sabre Missile   Lancer Missile Full Speed   Missile Frags   Armoured-Sabre Missile
Hydra MLRS, 10000, 1000, 5, 30, Off, 0.018, 0.018, 0.25, 360, 600, 0, 1000, 0, 0, 0,    Flechette84mmAmmoDef   Disruptor84mmAmmoDef   Flechette84mmFullSpeed   Disruptor84mmFullSpeed
Flechette Launcher, 0, 1000, 10, 60, Accurate, 0, 0, 0, 300, 300, 0, 70000, 9000, 3, 300,    Flechette84mmAmmoDef   Disruptor84mmAmmoDef   Flechette84mmFullSpeed   Disruptor84mmFullSpeed   Missile Frags
Small Flechette Launcher, 0, 0, 5, 30, Off, 0, 0, 0, 300, 300, 0, 70000, 9000, 0, 0,    Flechette84mmAmmoDef   Disruptor84mmAmmoDef   Flechette84mmFullSpeed   Disruptor84mmFullSpeed   Missile Frags
Riptide Flak, 0, 0, 0.04, 1, Accurate, 0.05, 0.05, 0, 240, 240, 0, 70000, 9000, 1, 0,    AryxFlakAmmoWC   AryxFlakShrapWC
Thrasher Heavy Flak Cannon, 2000, 0, 0.01, 1, Accurate, 0.0075, 0.0075, 0, 360, 300, 0, 70000, 9000, 0, 0,    AryxHeavyFlakAmmoWC   AryxHeavyFlakShrapWC
Oculus Ball-PDL, 1500, 0, 0, 1, Off, 0.1, 0.1, 0, 3600, 0, 20, 4800, 600, 60, 60,    Oculus Laser
Hunter 405mm Coilgun, 0, 0, 0, 1, Accurate, 0, 0, 0, 60, 1500, 0, 70000, 9000, 0, 0,    AryxLightCoilgunAmmoWC   AryxLightCoilgunPiercingAmmoWC
Compact Focus Beam, 0, 0, 0, 1, Accurate, 0, 0, 0, 3600, 0, 0, 8000, 0, 61, 300,    AryxSmallFocusBeamAmmo   AryxSmallFocusPulseAmmo
22mm PROWLER Chaingun, 0, 0, 0.1, 0, Accurate, 0, 0, 0, 1800, 300, 0, 70000, 9000, 1, 0,    25mm CODEX Ammunition
25mm Prowler, 1200, 0, 0.1, 8, Accurate, 0.075, 0.075, 0, 1200, 300, 0, 70000, 9000, 60, 0,    25mm CODEX Ammunition
25mm Prowler, 1200, 0, 0.1, 8, Accurate, 0.075, 0.075, 0, 1200, 300, 0, 70000, 9000, 60, 0,    25mm CODEX Ammunition
25mm Prowler, 1200, 0, 0.1, 8, Accurate, 0.075, 0.075, 0, 1200, 300, 0, 70000, 9000, 60, 0,    25mm CODEX Ammunition
25mm Prowler, 1200, 0, 0.1, 8, Accurate, 0.075, 0.075, 0, 1200, 300, 0, 70000, 9000, 60, 0,    25mm CODEX Ammunition
Helios Plasma Cannon, 10000, 0, 0.15, 1, Off, 0, 0, 0, 260, 300, 0, 70000, 9000, 4, 0,    Helios Energy Bolt
Apollo 250mm Railgun Turret, 5000, 0, 0, 20, Accurate, 0.007, 0.007, 2.5, 30, 120, 2000, 3000, 100, 0, 0,    AryxRailgunAmmoWC
